segment,step,before,target,after,error,grounding_requested,grounding_applied,horizontal_flags,grounding_flags,horizontal_side_hit,horizontal_ground_hit,horizontal_ambiguous_hit,grounding_side_hit,grounding_ground_hit,grounding_ambiguous_hit
1,1,"-3.500,6.080,-23.300","-3.438,6.005,-23.044","-3.438,6.005,-23.044",0.0000,0.0750,0.0750,"Above","None","V10_PROXY_Entrance_To_Branch_Entrance_Lintel","","","","",""
1,2,"-3.438,6.005,-23.044","-3.375,5.930,-22.788","-3.375,5.930,-22.788",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,3,"-3.375,5.930,-22.788","-3.313,5.855,-22.531","-3.313,5.855,-22.531",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,4,"-3.313,5.855,-22.531","-3.250,5.780,-22.275","-3.250,5.780,-22.275",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,5,"-3.250,5.780,-22.275","-3.188,5.705,-22.019","-3.188,5.705,-22.019",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,6,"-3.188,5.705,-22.019","-3.125,5.630,-21.763","-3.125,5.630,-21.763",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,7,"-3.125,5.630,-21.763","-3.063,5.555,-21.506","-3.063,5.555,-21.506",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,8,"-3.063,5.555,-21.506","-3.000,5.480,-21.250","-3.000,5.480,-21.250",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,9,"-3.000,5.480,-21.250","-2.938,5.405,-20.994","-2.938,5.405,-20.994",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,10,"-2.938,5.405,-20.994","-2.875,5.330,-20.738","-2.875,5.330,-20.738",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,11,"-2.875,5.330,-20.738","-2.813,5.255,-20.481","-2.813,5.255,-20.481",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,12,"-2.813,5.255,-20.481","-2.750,5.180,-20.225","-2.750,5.180,-20.225",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,13,"-2.750,5.180,-20.225","-2.688,5.105,-19.969","-2.688,5.105,-19.969",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,14,"-2.688,5.105,-19.969","-2.625,5.030,-19.713","-2.625,5.030,-19.713",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,15,"-2.625,5.030,-19.713","-2.563,4.955,-19.456","-2.563,4.955,-19.456",0.0000,0.0750,0.0750,"None","None","","","","","",""
1,16,"-2.563,4.955,-19.456","-2.500,4.880,-19.200","-2.500,4.880,-19.200",0.0000,0.0750,0.0750,"None","None","","","","","",""
2,1,"-2.500,4.880,-19.200","-2.236,4.887,-19.150","-2.236,4.880,-19.150",0.0068,0.0000,0.0000,"None","None","","","","","",""
2,2,"-2.236,4.880,-19.150","-1.973,4.894,-19.100","-1.973,4.880,-19.100",0.0136,0.0000,0.0000,"None","None","","","","","",""
2,3,"-1.973,4.880,-19.100","-1.709,4.900,-19.050","-1.709,4.880,-19.050",0.0205,0.0000,0.0000,"None","None","","","","","",""
2,4,"-1.709,4.880,-19.050","-1.445,4.907,-19.000","-1.445,4.880,-19.000",0.0273,0.0000,0.0000,"None","None","","","","","",""
2,5,"-1.445,4.880,-19.000","-1.182,4.914,-18.950","-1.182,4.884,-18.950",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,6,"-1.182,4.884,-18.950","-0.918,4.921,-18.900","-0.918,4.891,-18.900",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,7,"-0.918,4.891,-18.900","-0.655,4.928,-18.850","-0.655,4.898,-18.850",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,8,"-0.655,4.898,-18.850","-0.391,4.935,-18.800","-0.391,4.905,-18.800",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,9,"-0.391,4.905,-18.800","-0.127,4.941,-18.750","-0.127,4.912,-18.750",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,10,"-0.127,4.912,-18.750","0.136,4.948,-18.700","0.136,4.918,-18.700",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,11,"0.136,4.918,-18.700","0.400,4.955,-18.650","0.400,4.925,-18.650",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,12,"0.400,4.925,-18.650","0.664,4.962,-18.600","0.664,4.932,-18.600",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,13,"0.664,4.932,-18.600","0.927,4.969,-18.550","0.927,4.939,-18.550",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,14,"0.927,4.939,-18.550","1.191,4.975,-18.500","1.191,4.946,-18.500",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,15,"1.191,4.946,-18.500","1.455,4.982,-18.450","1.455,4.952,-18.450",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,16,"1.455,4.952,-18.450","1.718,4.989,-18.400","1.718,4.959,-18.400",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,17,"1.718,4.959,-18.400","1.982,4.996,-18.350","1.982,4.966,-18.350",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,18,"1.982,4.966,-18.350","2.245,5.003,-18.300","2.245,4.973,-18.300",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,19,"2.245,4.973,-18.300","2.509,5.010,-18.250","2.509,4.980,-18.250",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,20,"2.509,4.980,-18.250","2.773,5.016,-18.200","2.773,4.987,-18.200",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,21,"2.773,4.987,-18.200","3.036,5.023,-18.150","3.036,4.993,-18.150",0.0299,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_A_Floor","","","",""
2,22,"3.036,4.993,-18.150","3.300,5.030,-18.100","3.300,5.000,-18.100",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,1,"3.300,5.000,-18.100","3.522,5.041,-17.935","3.522,5.011,-17.935",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,2,"3.522,5.011,-17.935","3.743,5.052,-17.770","3.743,5.022,-17.770",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,3,"3.743,5.022,-17.770","3.965,5.063,-17.604","3.965,5.033,-17.604",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,4,"3.965,5.033,-17.604","4.187,5.073,-17.439","4.187,5.044,-17.439",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,5,"4.187,5.044,-17.439","4.409,5.084,-17.274","4.409,5.055,-17.274",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,6,"4.409,5.055,-17.274","4.630,5.095,-17.109","4.630,5.066,-17.109",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,7,"4.630,5.066,-17.109","4.852,5.106,-16.943","4.852,5.076,-16.943",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,8,"4.852,5.076,-16.943","5.074,5.117,-16.778","5.074,5.087,-16.778",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,9,"5.074,5.087,-16.778","5.296,5.128,-16.613","5.296,5.098,-16.613",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,10,"5.296,5.098,-16.613","5.517,5.139,-16.448","5.517,5.109,-16.448",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,11,"5.517,5.109,-16.448","5.739,5.150,-16.283","5.739,5.120,-16.283",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,12,"5.739,5.120,-16.283","5.961,5.160,-16.117","5.961,5.131,-16.117",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,13,"5.961,5.131,-16.117","6.183,5.171,-15.952","6.183,5.142,-15.952",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,14,"6.183,5.142,-15.952","6.404,5.182,-15.787","6.404,5.153,-15.787",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,15,"6.404,5.153,-15.787","6.626,5.193,-15.622","6.626,5.163,-15.622",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,16,"6.626,5.163,-15.622","6.848,5.204,-15.457","6.848,5.174,-15.457",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,17,"6.848,5.174,-15.457","7.070,5.215,-15.291","7.070,5.185,-15.291",0.0297,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_B_Floor","","","",""
3,18,"7.070,5.185,-15.291","7.291,5.226,-15.126","7.291,5.239,-15.126",0.0136,0.0136,0.0000,"Below","Below","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor",""
3,19,"7.291,5.239,-15.126","7.513,5.237,-14.961","7.513,5.248,-14.961",0.0114,0.0114,0.0000,"Below","Below","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor",""
3,20,"7.513,5.248,-14.961","7.735,5.247,-14.796","7.735,5.249,-14.796",0.0017,0.0017,0.0000,"Below","Below","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor",""
3,21,"7.735,5.249,-14.796","7.957,5.258,-14.630","7.957,5.250,-14.630",0.0080,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
3,22,"7.957,5.250,-14.630","8.178,5.269,-14.465","8.178,5.251,-14.465",0.0178,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
3,23,"8.178,5.251,-14.465","8.400,5.280,-14.300","8.400,5.253,-14.300",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,1,"8.400,5.253,-14.300","8.250,5.308,-14.081","8.250,5.281,-14.081",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,2,"8.250,5.281,-14.081","8.100,5.336,-13.863","8.100,5.309,-13.863",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,3,"8.100,5.309,-13.863","7.950,5.364,-13.644","7.950,5.337,-13.644",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,4,"7.950,5.337,-13.644","7.800,5.393,-13.425","7.800,5.365,-13.425",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,5,"7.800,5.365,-13.425","7.650,5.421,-13.206","7.650,5.393,-13.206",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
4,6,"7.650,5.393,-13.206","7.500,5.449,-12.988","7.500,5.421,-12.988",0.0275,0.0000,0.0000,"Below","None","","V10_PROXY_Branch_To_Gallery_Foot_Plug_Bypass_C_Floor","","","",""
