segment,step,before,target,after,error,horizontal_flags,grounding_flags,horizontal_side_hit,horizontal_ground_hit,horizontal_ambiguous_hit,grounding_ground_hit,grounding_ambiguous_hit
1,1,"6.7449|11.2376|3.6077","6.7966|11.2865|3.7685","7.0520|11.3706|3.9068",0.3023,"7","Below","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
1,2,"7.0520|11.3706|3.9068","6.8484|11.3354|3.9293","6.8484|11.5132|3.9293",0.1777,"Below","Below","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor",""
1,3,"6.8484|11.5132|3.9293","6.9002|11.3843|4.0901","6.9002|11.5271|4.0901",0.1428,"Below","Below","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor",""
1,4,"6.9002|11.5271|4.0901","6.9520|11.4333|4.2508","6.9520|11.6539|4.2508",0.2206,"Below","Below","","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor"
1,5,"6.9520|11.6539|4.2508","7.0037|11.4822|4.4116","7.0037|11.7787|4.4116",0.2965,"Below","Below","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
1,6,"7.0037|11.7787|4.4116","7.0555|11.5311|4.5724","7.0555|11.8192|4.5724",0.2881,"Below","Below","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
1,7,"7.0555|11.8192|4.5724","7.1073|11.5800|4.7332","7.1073|11.8200|4.7332",0.2400,"Below","Below","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
2,1,"7.1073|11.8200|4.7332","6.9458|11.6500|4.8265","6.9458|11.8200|4.8265",0.1700,"Below","Below","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
2,2,"6.9458|11.8200|4.8265","6.7844|11.7200|4.9199","6.7844|11.8200|4.9199",0.1000,"None","Below","","","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
2,3,"6.7844|11.8200|4.9199","6.6229|11.7900|5.0133","6.6229|11.8594|5.0133",0.0694,"Below","Below","","V11_PROXY_Royal_Entry_Passage_Royal_Entry_Floor","","V11_PROXY_Royal_Entry_Passage_Royal_Entry_Floor",""
2,4,"6.6229|11.8594|5.0133","6.4615|11.8600|5.1066","6.4615|11.8902|5.1066",0.0302,"Below","Below","","V11_PROXY_Royal_Entry_Passage_Royal_Entry_Floor","","V11_PROXY_Royal_Entry_Passage_Royal_Entry_Floor",""
2,5,"6.4615|11.8902|5.1066","6.3000|11.9300|5.2000","6.3000|11.9000|5.2000",0.0300,"Below","Below","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor","","V11_PROXY_Great_Step_Transition_Great_Step_Open_Connector_Floor",""
3,1,"6.3000|11.9000|5.2000","6.3000|11.9300|5.3250","6.3000|11.9000|5.3250",0.0300,"None","Below","","","","V11_PROXY_Royal_Entry_Passage_Royal_Entry_Floor",""
3,2,"6.3000|11.9000|5.3250","6.3000|11.9300|5.4500","6.3000|11.9095|5.4500",0.0205,"Below","Below","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
4,1,"6.3000|11.9095|5.4500","6.3000|11.9300|5.5750","6.3000|11.9540|5.5750",0.0240,"Below","Below","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
4,2,"6.3000|11.9540|5.5750","6.3000|11.9300|5.7000","6.3000|11.9685|5.7000",0.0385,"Below","Below","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
5,1,"6.3000|11.9685|5.7000","6.3000|11.9300|5.8833","6.3000|11.9309|5.8833",0.0009,"None","Below","","","","V10_PROXY_Grand_Gallery_Gallery_Floor_Ramp",""
5,2,"6.3000|11.9309|5.8833","6.3000|11.9300|6.0667","6.3000|11.8509|6.0667",0.0791,"None","None","","","","",""
5,3,"6.3000|11.8509|6.0667","6.3000|11.9300|6.2500","6.3000|11.8200|6.2500",0.1100,"None","Below","","","","V11_PROXY_Antechamber_Portcullis_Antechamber_Floor",""
5,4,"6.3000|11.8200|6.2500","6.3000|11.9300|6.4333","6.3000|11.8444|6.4333",0.0856,"Below","Below","","V11_PROXY_Royal_Entry_Passage_Antechamber_To_Kings_Entry_Floor","","V11_PROXY_Royal_Entry_Passage_Antechamber_To_Kings_Entry_Floor",""
5,5,"6.3000|11.8444|6.4333","6.3000|11.9300|6.6167","6.3000|11.8988|6.6167",0.0312,"Below","Below","","V11_PROXY_Royal_Entry_Passage_Antechamber_To_Kings_Entry_Floor","","V11_PROXY_Royal_Entry_Passage_Antechamber_To_Kings_Entry_Floor",""
5,6,"6.3000|11.8988|6.6167","6.3000|11.9300|6.8000","6.3000|11.9000|6.8000",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,1,"6.3000|11.9000|6.8000","6.3000|11.9300|6.9929","6.3000|11.9000|6.9929",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,2,"6.3000|11.9000|6.9929","6.3000|11.9300|7.1857","6.3000|11.9000|7.1857",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,3,"6.3000|11.9000|7.1857","6.3000|11.9300|7.3786","6.3000|11.9000|7.3786",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,4,"6.3000|11.9000|7.3786","6.3000|11.9300|7.5714","6.3000|11.9000|7.5714",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,5,"6.3000|11.9000|7.5714","6.3000|11.9300|7.7643","6.3000|11.9000|7.7643",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,6,"6.3000|11.9000|7.7643","6.3000|11.9300|7.9571","6.3000|11.9000|7.9571",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,7,"6.3000|11.9000|7.9571","6.3000|11.9300|8.1500","6.3000|11.9000|8.1500",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,8,"6.3000|11.9000|8.1500","6.3000|11.9300|8.3429","6.3000|11.9000|8.3429",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,9,"6.3000|11.9000|8.3429","6.3000|11.9300|8.5357","6.3000|11.9000|8.5357",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,10,"6.3000|11.9000|8.5357","6.3000|11.9300|8.7286","6.3000|11.9000|8.7286",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,11,"6.3000|11.9000|8.7286","6.3000|11.9300|8.9214","6.3000|11.9000|8.9214",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,12,"6.3000|11.9000|8.9214","6.3000|11.9300|9.1143","6.3000|11.9000|9.1143",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,13,"6.3000|11.9000|9.1143","6.3000|11.9300|9.3071","6.3000|11.9000|9.3071",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
6,14,"6.3000|11.9000|9.3071","6.3000|11.9300|9.5000","6.3000|11.9000|9.5000",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,1,"6.3000|11.9000|9.5000","6.1429|11.9300|9.5786","6.1429|11.9000|9.5786",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,2,"6.1429|11.9000|9.5786","5.9857|11.9300|9.6571","5.9857|11.9000|9.6571",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,3,"5.9857|11.9000|9.6571","5.8286|11.9300|9.7357","5.8286|11.9000|9.7357",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,4,"5.8286|11.9000|9.7357","5.6714|11.9300|9.8143","5.6714|11.9000|9.8143",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,5,"5.6714|11.9000|9.8143","5.5143|11.9300|9.8929","5.5143|11.9000|9.8929",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,6,"5.5143|11.9000|9.8929","5.3571|11.9300|9.9714","5.3571|11.9000|9.9714",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
7,7,"5.3571|11.9000|9.9714","5.2000|11.9300|10.0500","5.2000|12.0013|10.0500",0.0712,"Below","Below","","","V11_PROXY_Granite_Sarcophagus_Sarcophagus_Base","","V11_PROXY_Granite_Sarcophagus_Sarcophagus_Base"
8,1,"5.2000|12.0013|10.0500","5.3571|11.9300|9.9714","5.3571|11.9213|9.9714",0.0088,"None","None","","","","",""
8,2,"5.3571|11.9213|9.9714","5.5143|11.9300|9.8929","5.5143|11.9000|9.8929",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
8,3,"5.5143|11.9000|9.8929","5.6714|11.9300|9.8143","5.6714|11.9000|9.8143",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
8,4,"5.6714|11.9000|9.8143","5.8286|11.9300|9.7357","5.8286|11.9000|9.7357",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
8,5,"5.8286|11.9000|9.7357","5.9857|11.9300|9.6571","5.9857|11.9000|9.6571",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
8,6,"5.9857|11.9000|9.6571","6.1429|11.9300|9.5786","6.1429|11.9000|9.5786",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
8,7,"6.1429|11.9000|9.5786","6.3000|11.9300|9.5000","6.3000|11.9000|9.5000",0.0300,"None","Below","","","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
9,1,"6.3000|11.9000|9.5000","6.3000|11.9300|9.3071","6.3000|11.9000|9.3071",0.0300,"Below","Below","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor","","V11_PROXY_Kings_Chamber_Kings_Chamber_Floor",""
