segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
1,1,15927,"3.2000|6.4800|-7.4000","3.1496|6.4790|-7.2517","3.1496|6.4311|-7.2517",0.1566,0.0479,"None","",-1
1,2,15928,"3.1496|6.4311|-7.2517","3.0992|6.4780|-7.1034","3.0992|6.4480|-7.1034",0.1566,0.0300,"Below","",-1
1,3,15929,"3.0992|6.4480|-7.1034","3.0488|6.4770|-6.9551","3.0488|6.4470|-6.9551",0.1566,0.0300,"None","",-1
1,4,15930,"3.0488|6.4470|-6.9551","2.9984|6.4760|-6.8068","2.9984|6.4460|-6.8068",0.1566,0.0300,"None","",-1
2,1,15931,"2.9984|6.4460|-6.8068","2.8870|6.4748|-6.7044","2.8870|6.4449|-6.7044",0.1513,0.0300,"None","",-1
2,2,15932,"2.8870|6.4449|-6.7044","2.7756|6.4737|-6.6019","2.7756|6.4437|-6.6019",0.1513,0.0300,"None","",-1
2,3,15933,"2.7756|6.4437|-6.6019","2.6643|6.4726|-6.4995","2.6643|6.4426|-6.4995",0.1513,0.0300,"None","",-1
2,4,15934,"2.6643|6.4426|-6.4995","2.5529|6.4715|-6.3970","2.5529|6.4415|-6.3970",0.1513,0.0300,"None","",-1
2,5,15935,"2.5529|6.4415|-6.3970","2.4415|6.4704|-6.2946","2.4415|6.4404|-6.2946",0.1513,0.0300,"None","",-1
2,6,15936,"2.4415|6.4404|-6.2946","2.3302|6.4693|-6.1921","2.3302|6.4393|-6.1921",0.1513,0.0300,"None","",-1
2,7,15937,"2.3302|6.4393|-6.1921","2.2188|6.4682|-6.0896","2.2188|6.4382|-6.0896",0.1513,0.0300,"None","",-1
2,8,15938,"2.2188|6.4382|-6.0896","2.1074|6.4670|-5.9872","2.1074|6.4371|-5.9872",0.1513,0.0300,"None","",-1
2,9,15939,"2.1074|6.4371|-5.9872","1.9961|6.4659|-5.8847","1.9961|6.4359|-5.8847",0.1513,0.0300,"None","",-1
2,10,15940,"1.9961|6.4359|-5.8847","1.8847|6.4648|-5.7823","1.8847|6.4348|-5.7823",0.1513,0.0300,"None","",-1
2,11,15941,"1.8847|6.4348|-5.7823","1.7733|6.4637|-5.6798","1.7733|6.4337|-5.6798",0.1513,0.0300,"None","",-1
2,12,15942,"1.7733|6.4337|-5.6798","1.6620|6.4626|-5.5773","1.6620|6.4326|-5.5773",0.1513,0.0300,"None","",-1
2,13,15943,"1.6620|6.4326|-5.5773","1.5506|6.4615|-5.4749","1.5506|6.4315|-5.4749",0.1513,0.0300,"None","",-1
2,14,15944,"1.5506|6.4315|-5.4749","1.4392|6.4604|-5.3724","1.4392|6.4304|-5.3724",0.1513,0.0300,"None","",-1
