segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
1,1,10995,"2.5789|6.4718|-6.4209","0.8495|6.4545|-4.8299","2.5200|6.4718|-6.3668",0.0800,2.2700,"None","",-1
1,2,10996,"2.5200|6.4718|-6.3668","0.8495|6.4545|-4.8299","2.4611|6.4718|-6.3126",0.0800,2.1900,"None","",-1
1,3,10997,"2.4611|6.4718|-6.3126","0.8495|6.4545|-4.8299","2.4023|6.4718|-6.2584",0.0800,2.1100,"None","",-1
1,4,10998,"2.4023|6.4718|-6.2584","0.8495|6.4545|-4.8299","2.3434|6.4718|-6.2043",0.0800,2.0300,"None","",-1
1,5,10999,"2.3434|6.4718|-6.2043","0.8495|6.4545|-4.8299","2.2845|6.4718|-6.1501",0.0800,1.9500,"None","",-1
1,6,11000,"2.2845|6.4718|-6.1501","0.8495|6.4545|-4.8299","2.2257|6.4718|-6.0960",0.0800,1.8700,"None","",-1
1,7,11001,"2.2257|6.4718|-6.0960","0.8495|6.4545|-4.8299","2.1668|6.4718|-6.0418",0.0800,1.7900,"None","",-1
1,8,11002,"2.1668|6.4718|-6.0418","0.8495|6.4545|-4.8299","2.1079|6.4718|-5.9876",0.0800,1.7100,"None","",-1
1,9,11003,"2.1079|6.4718|-5.9876","0.8495|6.4545|-4.8299","2.0490|6.4718|-5.9335",0.0800,1.6300,"None","",-1
1,10,11004,"2.0490|6.4718|-5.9335","0.8495|6.4545|-4.8299","1.9902|6.4718|-5.8793",0.0800,1.5500,"None","",-1
1,11,11005,"1.9902|6.4718|-5.8793","0.8495|6.4545|-4.8299","1.9313|6.4718|-5.8251",0.0800,1.4700,"None","",-1
1,12,11006,"1.9313|6.4718|-5.8251","0.8495|6.4545|-4.8299","1.8724|6.4718|-5.7710",0.0800,1.3900,"None","",-1
1,13,11007,"1.8724|6.4718|-5.7710","0.8495|6.4545|-4.8299","1.8135|6.4718|-5.7168",0.0800,1.3101,"None","",-1
1,14,11008,"1.8135|6.4718|-5.7168","0.8495|6.4545|-4.8299","1.7932|6.4721|-5.6981",0.0800,1.2824,"Sides","V10_PROXY_Queen_Branch_Threshold_Queen_Ownership_Gate",11008
