segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
1,1,10141,"-2.5000|4.8800|-19.2000","-2.3803|4.8800|-19.2000","-2.3803|4.8500|-19.2000",0.1197,0.0300,"None","",-1
1,2,10142,"-2.3803|4.8500|-19.2000","-2.2606|4.8800|-19.2000","-2.2606|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,3,10143,"-2.2606|4.8500|-19.2000","-2.1409|4.8800|-19.2000","-2.1409|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,4,10144,"-2.1409|4.8500|-19.2000","-2.0212|4.8800|-19.2000","-2.0212|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,5,10145,"-2.0212|4.8500|-19.2000","-1.9015|4.8800|-19.2000","-1.9015|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,6,10146,"-1.9015|4.8500|-19.2000","-1.7818|4.8800|-19.2000","-1.7818|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,7,10147,"-1.7818|4.8500|-19.2000","-1.6621|4.8800|-19.2000","-1.6621|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,8,10148,"-1.6621|4.8500|-19.2000","-1.5424|4.8800|-19.2000","-1.5424|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,9,10149,"-1.5424|4.8500|-19.2000","-1.4227|4.8800|-19.2000","-1.4227|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,10,10150,"-1.4227|4.8500|-19.2000","-1.3030|4.8800|-19.2000","-1.3030|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,11,10151,"-1.3030|4.8500|-19.2000","-1.1833|4.8800|-19.2000","-1.1833|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,12,10152,"-1.1833|4.8500|-19.2000","-1.0636|4.8800|-19.2000","-1.0636|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,13,10153,"-1.0636|4.8500|-19.2000","-0.9439|4.8800|-19.2000","-0.9439|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,14,10154,"-0.9439|4.8500|-19.2000","-0.8242|4.8800|-19.2000","-0.8242|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,15,10155,"-0.8242|4.8500|-19.2000","-0.7045|4.8800|-19.2000","-0.7045|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,16,10156,"-0.7045|4.8500|-19.2000","-0.5848|4.8800|-19.2000","-0.5848|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,17,10157,"-0.5848|4.8500|-19.2000","-0.4652|4.8800|-19.2000","-0.4652|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,18,10158,"-0.4652|4.8500|-19.2000","-0.3455|4.8800|-19.2000","-0.3455|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,19,10159,"-0.3455|4.8500|-19.2000","-0.2258|4.8800|-19.2000","-0.2258|4.8500|-19.2000",0.1234,0.0300,"None","",-1
1,20,10160,"-0.2258|4.8500|-19.2000","-0.1061|4.8800|-19.2000","-0.1061|4.8500|-19.2000",0.1234,0.0300,"None","",-1
