segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
1,1,7836,"0.8000|-2.7200|1.5000","3.1500|-2.7200|1.5000","0.8800|-2.7200|1.5000",0.0800,2.2700,"None","",-1
1,2,7837,"0.8800|-2.7200|1.5000","3.1500|-2.7200|1.5000","0.9600|-2.7200|1.5000",0.0800,2.1900,"None","",-1
1,3,7838,"0.9600|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.0400|-2.7200|1.5000",0.0800,2.1100,"None","",-1
1,4,7839,"1.0400|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.1200|-2.7200|1.5000",0.0800,2.0300,"None","",-1
1,5,7840,"1.1200|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.2000|-2.7200|1.5000",0.0800,1.9500,"None","",-1
1,6,7841,"1.2000|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.2800|-2.7200|1.5000",0.0800,1.8700,"None","",-1
1,7,7842,"1.2800|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.3600|-2.7200|1.5000",0.0800,1.7900,"None","",-1
1,8,7843,"1.3600|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.4400|-2.7200|1.5000",0.0800,1.7100,"None","",-1
1,9,7844,"1.4400|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.5200|-2.7200|1.5000",0.0800,1.6300,"None","",-1
1,10,7845,"1.5200|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.6000|-2.7200|1.5000",0.0800,1.5500,"None","",-1
1,11,7846,"1.6000|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.6800|-2.7200|1.5000",0.0800,1.4700,"None","",-1
1,12,7847,"1.6800|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.7600|-2.7200|1.5000",0.0800,1.3900,"None","",-1
1,13,7848,"1.7600|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.8400|-2.7200|1.5000",0.0800,1.3100,"None","",-1
1,14,7849,"1.8400|-2.7200|1.5000","3.1500|-2.7200|1.5000","1.9200|-2.7200|1.5000",0.0800,1.2300,"None","",-1
1,15,7850,"1.9200|-2.7200|1.5000","3.1500|-2.7200|1.5000","2.0000|-2.7200|1.5000",0.0800,1.1500,"Sides","V13_Proxy_Chamber_East_Wall",7850
